1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,MAX-SEC,SEC-TRD,TRD-FRT,Label
5596.551985,4897.14366,4602.339644,4677.195425,4783.608644,4835.672308,4826.230108,4886.717587,4690.697119,4638.476306,4627.72187,4378.197372,4537.439594,4786.993661,4532.540316,4224.94686,4518.350936,4698.274693,4896.521914,4753.469515,4945.542456,4837.814224,4938.295566,4578.641116,4583.35946,4547.794046,651.009529,7.24689,41.151906,1
5068.232774,4151.972243,4021.793599,4235.27211,4067.861633,3858.431868,4185.382078,4571.059063,4260.106413,4119.125699,4063.442843,3864.569472,3931.342425,3761.975415,3863.13638,3676.652199,4085.111981,3845.921981,4289.075628,3890.441892,4416.08143,4357.885289,4181.124702,4039.120223,3994.833679,4194.729624,497.173711,154.977633,58.196141,1
5457.686979,4480.007294,4275.643774,4208.357701,4444.107955,4249.95346,4671.060792,4814.783962,4181.796011,4177.167183,4223.163752,3773.409419,3968.817944,4620.626274,4603.509901,4062.217487,4179.733707,4221.890501,4516.97335,4187.575902,4481.548085,4367.687522,4724.026005,4057.708802,3969.34338,4417.273014,642.903017,90.757957,52.965213,1
5961.899795,4766.385975,4546.463001,4539.916908,5049.529786,4868.033347,4904.612429,5032.858577,4883.747677,4686.846939,4594.485778,4636.831225,4514.729267,4526.206105,4796.083308,4473.873022,4573.983024,4670.143215,4786.479101,4798.032478,5419.454502,4787.697694,4777.277373,4548.253441,4786.666602,4720.563864,542.445293,369.924716,16.671209,1
4078.780919,3657.70908,3470.421495,3333.837432,3373.540324,3144.151179,3655.874746,3502.81035,3416.651824,3428.193749,3448.726245,2923.074055,3107.14302,3564.639008,3364.329794,3122.260528,3296.86744,3413.821693,3780.188751,3319.317666,3447.26805,3436.318926,3786.188391,3225.757979,3057.406843,3493.137395,292.592528,5.99964,122.479671,1
13111.40106,11541.29306,11128.06515,11571.52588,11738.87905,11458.83571,11906.74407,12607.48016,11476.55705,11473.72508,11962.63239,11161.17258,10979.48033,10817.78846,11513.13962,11056.00035,11537.84493,11206.91432,11664.67188,11417.4457,11692.97181,12002.70799,11531.36019,11474.64198,11376.55708,11567.20017,503.920899,604.77217,40.075604,1
8510.816963,7117.929902,6786.909147,6929.515526,7295.101382,6908.190051,7339.545702,7743.909615,7066.986226,6823.001434,7032.124472,6623.540246,6724.820893,6750.174,7084.497207,6682.205438,6778.178327,6735.21141,7233.338916,7275.640082,7648.441694,7188.69928,7131.954241,6782.561504,6987.139247,6899.382224,766.907348,95.467921,308.895992,1
6875.724247,5836.786319,5499.839784,5573.582323,5851.00668,5496.064961,5820.532491,6209.746203,5665.427998,5492.886837,5592.726276,5360.291686,5126.306088,5573.557958,5682.544694,5191.619677,5400.638419,5544.886739,5764.837744,5578.159572,5875.409123,5771.107542,5865.954344,5288.185878,5268.282911,5516.545145,665.978044,334.33708,9.454779,1
4780.479713,4268.591029,3969.80626,4009.013747,4104.477169,4208.094362,4194.383331,4244.083568,4034.721601,3885.323747,3943.409974,3791.829591,3929.176279,4134.185364,3897.095076,3807.881957,3778.772885,3931.141267,4120.05054,3970.165692,4384.823844,4148.261963,4147.113767,3796.894475,3790.35826,4057.669159,395.655869,116.232815,24.507461,1
7251.331015,6095.505353,5680.790393,5880.107915,6110.846759,5625.0739,6207.266301,6489.608493,5797.627856,5691.76248,5960.399607,5434.544117,5691.238796,5833.243119,5914.786426,5510.292885,5520.651797,5763.431671,6129.080748,6066.279091,6347.284965,6152.890476,5872.861353,5611.290478,5780.55938,5783.663431,761.722522,142.323528,140.018664,1
7347.901084,5953.086766,5536.190395,5745.167757,6119.059983,5790.592075,6117.808942,6430.137342,5780.116761,5578.417342,5858.641508,5415.209479,5394.717476,5752.889828,5695.404833,5414.144123,5641.139739,5858.992951,5982.206937,5877.369484,6203.531605,6094.14039,5884.146966,5709.535272,5559.866672,5781.423939,917.763742,226.605737,84.471622,1
7286.338622,6077.438581,5649.290869,5826.111368,5942.103463,5851.504335,6093.912582,6516.225821,5893.609328,5696.13821,5909.667898,5348.059439,5716.040629,6024.423386,5923.172105,5610.623577,5650.581885,5887.435674,6069.159487,5771.925987,6217.67752,6141.779268,6081.020529,5523.053931,5713.428863,6015.300376,770.112801,298.548301,75.898252,1
4997.388692,4384.443954,4384.487869,4291.092829,4136.305274,4357.112183,4585.234847,4136.604752,4161.483965,4303.720074,4220.704381,4030.105109,3982.9284,4235.585332,4141.507255,3838.01736,4038.462184,4110.610107,4430.980309,4082.371605,4326.332399,4278.041445,4628.694226,3949.772772,3910.538062,4272.028855,368.694466,43.459379,154.254538,1
6234.18696,5106.263221,4768.923012,4712.06642,5071.946436,4834.081759,5009.656238,5421.09171,4876.801766,4706.940342,4942.673642,4426.413744,4617.26773,4905.095474,4890.631927,4469.185872,4765.078545,4876.420619,5218.830696,5032.229762,5283.617284,4943.713449,5095.866788,4640.320805,4738.22914,4738.542397,813.09525,137.474426,64.786588,1
9962.064851,8504.070025,8102.971558,8435.600198,8656.372833,8532.10362,8800.10709,8951.332804,8425.015851,8305.695302,8672.119267,8124.569078,8369.975745,8044.802423,8357.880388,8069.886735,8104.089401,8335.624071,8582.131101,8990.126056,9145.41794,8552.276146,8303.246594,8231.289904,8863.169259,8505.41701,816.646911,155.291884,38.793252,1
9000.789224,7533.302587,7260.761644,7459.825193,7892.44141,7340.777283,7673.834743,8201.50491,7500.115287,7242.352136,7497.611533,7056.854323,7012.187127,7399.979918,7719.617199,7005.191536,7306.464783,7357.438043,7594.42232,7462.866117,7902.447835,7543.803051,7728.846268,7404.673961,7169.218634,7464.19017,799.284314,299.057075,10.006425,1
5159.883285,6059.537644,5304.481053,5349.355702,5358.506007,5530.777345,5346.38902,5175.549267,5257.492781,5473.18548,5414.18883,5423.277054,5143.861966,5300.740262,5415.335191,5194.81926,5219.888816,5442.394116,5472.192199,5049.627531,5196.431168,5240.379621,5382.643168,5147.709567,5283.763085,5144.77405,528.760299,57.591865,0.993281,1
6776.556178,7416.732104,6903.210917,6831.365058,6980.487389,7008.048636,6905.232848,6718.370412,6694.091034,6569.051263,6967.294025,6496.340516,6569.464472,6756.70386,6789.333546,6402.554798,6530.637319,6778.680779,6927.906748,6834.13867,6715.575388,6865.262829,6790.485881,6704.070965,6519.938856,6601.922148,408.683468,27.561247,13.193364,1
4437.279674,5390.382006,4495.084983,4674.34183,4710.320834,4792.737236,4553.939418,4490.907149,4673.903146,4567.367118,4567.846295,4684.734283,4508.378128,4510.589635,4612.491184,4499.221467,4465.155964,4793.349742,4692.152551,4506.199815,4443.427604,4529.923319,4504.441672,4415.221995,4753.451763,4446.490102,597.032264,0.612506,39.285473,1
5661.729056,6639.383802,5444.773387,5619.203463,5799.800438,5866.082369,5695.859809,5477.161177,5505.263467,5564.061584,5943.595603,5629.20728,5453.216761,5701.854577,5503.866865,5582.008491,5409.532076,5807.06579,5936.847363,5580.632435,5561.453526,5784.264367,5521.228403,5540.713898,5698.561255,5419.90782,695.788199,6.74824,70.764994,1
